"day","subscriber_ecid","subscriber_gender","subscriber_age","registration_province","months_of_subscription","most_used_province","is_usage_nonzero","subscriber_total_expenses","nonpackage_voice_expenses","package_voice_noncash_expenses","is_voice_expenses_nonzero","is_voice_usage_nonzero","call_in_network_duration","call_off_netwrok_duration","nonpackage_call_in_network_expenses","nonpackage_call_off_network_expenses","total_call_duration","X.inter_operator_calls","xyz_score","hxr_score","data_cash_expenses","nonpackage_data_expenses","package_data_noncash_expenses","subscriber_data_expenses","subscriber_nondata_expenses","data_usage_volume","is_data_expenses_nonzero","is_data_usage_nonzero","X.activated_monthly_data_packages","X.activated_short_term_data_packages","X.activated_type_one_data_packages","X.activated_type_two_data_packages","X.activated_type_three_data_packages"
"(n)01","-06FoayTOXJ8-",1,36,8,188,8,1,-0.132372558658149,-0.0728022014436023,0,1,1,-0.155626496408619,0,-0.256454228904354,0,-0.220796758946658,0,0.0312194930396296,38.1928623481413,0,0,0,0,-0.10468744546944,0.0722577438358647,0,1,0,0,0,0,0
"(n)02","-06FoayTOXJ8-",1,36,8,188,8,1,-0.122444637033713,-0.0604395944260022,0,1,1,-0.142857142857143,0,0.0361447574505696,0,-0.210668467251857,0,0.0334912181051698,38.1442319656446,0,0,0,0,-0.09286108393682,0.0495633960735849,0,1,0,0,0,0,0
"(n)03","-06FoayTOXJ8-",1,36,8,188,8,1,0.343065534339085,0.519230504622044,0,1,1,0.418196328810854,0,0.762478460595742,0,0.264686022957461,0,0.0368314238264643,37.9903771027431,0,0,0,0,0.461665008434463,-0.0139766307813943,0,0,0,0,0,0,0
"(n)04","-06FoayTOXJ8-",1,36,8,188,8,1,1.86976299929413,2.42032939601053,0,1,1,2.25937749401437,0,3.14457855527896,0,1.82174206617151,0,0.0399420611709495,37.7773977938691,0,0,0,0,2.28030105880914,0.0004025377369682,0,1,0,0,0,0,0
"(n)05","-06FoayTOXJ8-",1,36,8,188,8,1,-0.233858193721038,-0.199175784120375,0,1,1,-0.277733439744613,0,-0.137693380115005,0,-0.324105334233626,0,0.0426940639483177,37.5452746983899,0,0,0,0,-0.225579396073401,0.01620935689917,0,1,0,0,0,0,0
"(n)06","-06FoayTOXJ8-",1,36,8,188,8,1,2.07052805335063,2.67032930133402,0,1,1,2.50039904229848,0,0.769363319410819,0,2.0270087778528,0,0.0462217573128905,37.2011465424585,0,0,0,0,2.51945686625873,0.0228403661141503,0,1,0,0,0,0,0
"(n)07","-06FoayTOXJ8-",1,36,8,188,8,1,0.0352994571084448,0.135989055899666,0,1,1,0.0470869912210694,0,0.122203357284107,0,-0.0492910195813639,0,0.0519180611519141,36.5656122685654,0,0,0,0,0.0950471971246627,0.15403759408755,0,1,0,0,0,0,0
"(n)08","-06FoayTOXJ8-",1,36,8,188,8,1,-0.309972496049177,-0.293956065804471,0,0,0,-0.36951316839585,0,-0.256454228904354,0,-0.401755570560432,1,0.0560471325888812,36.062982733044,0,0,0,0,-0.316248449596161,-0.0117276417086165,0,1,0,0,0,0,0
"(n)09","-06FoayTOXJ8-",1,36,8,188,8,1,0.297838358355464,0.462911989594167,0,1,1,0.363128491620112,0,0.691910674465299,0,0.218095881161377,0,0.0604383907266296,35.503907368381,0,0,0,0,0.407789388288022,-0.0139766307813943,0,0,0,0,0,0,0
"(n)10","-06FoayTOXJ8-",1,36,8,188,8,1,0.399323993418354,0.58928557227094,0,1,1,0.486033519553073,0,0.850258314676658,0,0.322079675894666,0,0.0636725215254279,35.0816825137494,0,0,0,0,0.528681338891984,0.100156010840753,0,1,0,0,0,0,0
"(n)11","-06FoayTOXJ8-",1,36,8,188,0,0,-0.309972496049177,-0.293956065804471,0,0,0,-0.36951316839585,0,-0.256454228904354,0,-0.401755570560432,0,0.0709736947214118,34.1123069582406,0,0,0,0,-0.316248449596161,-0.0139766307813943,0,0,0,0,0,0,0
"(n)12","-06FoayTOXJ8-",1,36,8,188,8,1,1.38219066722855,1.81318669666187,0,1,1,1.67118914604948,0,2.3838213489306,0,1.32478055367995,0,0.0735657318921943,33.7663763540953,0,0,0,0,1.69949402885457,-0.0139766307813943,0,0,0,0,0,0,0
"(n)13","-06FoayTOXJ8-",1,36,8,188,8,1,1.66899753973911,2.17032898574563,0,1,1,2.01675977653631,0,2.83132499247881,0,1.61715057393653,0,0.081821633911053,32.6706242390382,0,0,0,0,2.04114476832067,0.156803027748508,0,1,0,0,0,0,0
"(n)14","-06FoayTOXJ8-",1,36,8,188,8,1,0.335344031533187,0.509615410105216,0,1,1,0.408619313647247,0,0.750430629910723,0,0.256583389601621,0,0.0836816744160232,32.4263177911618,0,0,0,0,0.452466982179609,0.977188889792696,0,1,0,0,0,0,0
"(n)15","-06FoayTOXJ8-",1,36,8,188,8,1,0.656347506554123,0.909340545243319,0,1,1,0.795690343176377,0,1.25129109885997,0,0.584064821066847,1,0.0909168509671938,31.4893735623716,0,0,0,0,0.834853476799099,0.115526568399554,0,1,0,0,0,0,0
"(n)16","-06FoayTOXJ8-",1,36,8,188,8,1,-0.121341579686389,-0.0590660275286488,0,1,1,-0.142059058260176,0,-0.223751979948543,0,-0.209318028359217,0,0.0993408363022521,30.4308429466296,0,0,0,0,-0.091547097437515,0.0204605490556088,0,1,0,0,0,0,0
"(n)17","-06FoayTOXJ8-",1,36,8,188,8,1,23.2261753146491,-0.293956065804471,0,0,0,-0.36951316839585,0,-0.256454228904354,0,-0.401755570560432,0,0.102974164718309,29.986385585462,0,0,232170,232170,-0.316248449596161,0.0105462755837612,1,1,1,0,0,0,0
"(n)18","-06FoayTOXJ8-",1,36,8,188,8,1,-0.309972496049177,-0.293956065804471,0,0,0,-0.36951316839585,0,-0.256454228904354,0,-0.401755570560432,0,0.109829104237593,29.1688531419761,0,0,0,0,-0.316248449596161,-0.0139292139943904,0,1,0,0,0,0,0
"(n)19","-06FoayTOXJ8-",1,36,8,188,8,1,0.145609855073815,0.273351552461331,0,1,1,-0.0638467677573822,2.96116504854369,0.139414950711263,2.99999849345406,0.062795408507765,0,0.121276157560198,27.866311951909,0,0,0,0,0.22645140200222,0.0518829775148523,0,1,0,0,0,0,0
"(n)20","-06FoayTOXJ8-",1,36,8,188,8,1,0.0717017688149539,0.181318530807297,0,1,1,0.0909816440542697,0,0.339070636592011,0,-0.012153950033761,0,0.126192735482391,27.3308945288531,0,0,0,0,0.138410442237789,0.0391989800264655,0,1,0,0,0,0,0
"(n)21","-06FoayTOXJ8-",1,36,8,188,0,0,-0.309972496049177,-0.293956065804471,0,0,0,NA,0,-0.256454228904354,0,NA,0,0.13316092156769,26.5962973247945,0,0,0,0,-0.316248449596161,-0.0139766307813943,0,0,0,0,0,0,0
"(n)22","-06FoayTOXJ8-",1,36,8,188,8,1,0.0022063174439076,0.0947802816840957,0,1,1,0.0071827613727054,0,0.230637155112498,0,-0.0830519918973666,0,0.142960477851386,25.6098289472991,0,0,0,0,0.0556259115094517,-0.0139766307813943,0,0,0,0,0,0,0
